DriverNumber,BroadcastName,TeamName,Position,Q1,Q2,Q3,Year,EventName,WetSession
16,C LECLERC,Ferrari,9.0,0 days 00:01:17.256000,0 days 00:01:16.953000,0 days 00:01:17.087000,2020,Spanish Grand Prix,False
10,P GASLY,AlphaTauri,10.0,0 days 00:01:17.356000,0 days 00:01:16.800000,0 days 00:01:17.136000,2020,Spanish Grand Prix,False
5,S VETTEL,Ferrari,11.0,0 days 00:01:17.573000,0 days 00:01:17.168000,,2020,Spanish Grand Prix,False
26,D KVYAT,AlphaTauri,12.0,0 days 00:01:17.676000,0 days 00:01:17.192000,,2020,Spanish Grand Prix,False
3,D RICCIARDO,Renault,13.0,0 days 00:01:17.667000,0 days 00:01:17.198000,,2020,Spanish Grand Prix,False
7,K RAIKKONEN,Alfa Romeo Racing,14.0,0 days 00:01:17.797000,0 days 00:01:17.386000,,2020,Spanish Grand Prix,False
31,E OCON,Renault,15.0,0 days 00:01:17.765000,0 days 00:01:17.567000,,2020,Spanish Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,16.0,0 days 00:01:17.908000,,,2020,Spanish Grand Prix,False
8,R GROSJEAN,Haas F1 Team,17.0,0 days 00:01:18.089000,,,2020,Spanish Grand Prix,False
63,G RUSSELL,Williams,18.0,0 days 00:01:18.099000,,,2020,Spanish Grand Prix,False
6,N LATIFI,Williams,19.0,0 days 00:01:18.532000,,,2020,Spanish Grand Prix,False
99,A GIOVINAZZI,Alfa Romeo Racing,20.0,0 days 00:01:18.697000,,,2020,Spanish Grand Prix,False
44,L HAMILTON,Mercedes,1.0,0 days 00:01:42.323000,0 days 00:01:42.014000,0 days 00:01:41.252000,2020,Belgian Grand Prix,False
77,V BOTTAS,Mercedes,2.0,0 days 00:01:42.534000,0 days 00:01:42.126000,0 days 00:01:41.763000,2020,Belgian Grand Prix,False
33,M VERSTAPPEN,Red Bull Racing,3.0,0 days 00:01:43.197000,0 days 00:01:42.473000,0 days 00:01:41.778000,2020,Belgian Grand Prix,False
3,D RICCIARDO,Renault,4.0,0 days 00:01:43.309000,0 days 00:01:42.487000,0 days 00:01:42.061000,2020,Belgian Grand Prix,False
23,A ALBON,Red Bull Racing,5.0,0 days 00:01:43.418000,0 days 00:01:42.193000,0 days 00:01:42.264000,2020,Belgian Grand Prix,False
31,E OCON,Renault,6.0,0 days 00:01:43.505000,0 days 00:01:42.534000,0 days 00:01:42.396000,2020,Belgian Grand Prix,False
55,C SAINZ,McLaren,7.0,0 days 00:01:43.322000,0 days 00:01:42.478000,0 days 00:01:42.438000,2020,Belgian Grand Prix,False
11,S PEREZ,Racing Point,8.0,0 days 00:01:43.349000,0 days 00:01:42.670000,0 days 00:01:42.532000,2020,Belgian Grand Prix,False
18,L STROLL,Racing Point,9.0,0 days 00:01:43.265000,0 days 00:01:42.491000,0 days 00:01:42.603000,2020,Belgian Grand Prix,False
4,L NORRIS,McLaren,10.0,0 days 00:01:43.514000,0 days 00:01:42.722000,0 days 00:01:42.657000,2020,Belgian Grand Prix,False
26,D KVYAT,AlphaTauri,11.0,0 days 00:01:43.267000,0 days 00:01:42.730000,,2020,Belgian Grand Prix,False
10,P GASLY,AlphaTauri,12.0,0 days 00:01:43.262000,0 days 00:01:42.745000,,2020,Belgian Grand Prix,False
16,C LECLERC,Ferrari,13.0,0 days 00:01:43.656000,0 days 00:01:42.996000,,2020,Belgian Grand Prix,False
5,S VETTEL,Ferrari,14.0,0 days 00:01:43.567000,0 days 00:01:43.261000,,2020,Belgian Grand Prix,False
63,G RUSSELL,Williams,15.0,0 days 00:01:43.630000,0 days 00:01:43.468000,,2020,Belgian Grand Prix,False
7,K RAIKKONEN,Alfa Romeo Racing,16.0,0 days 00:01:43.743000,,,2020,Belgian Grand Prix,False
8,R GROSJEAN,Haas F1 Team,17.0,0 days 00:01:43.838000,,,2020,Belgian Grand Prix,False
99,A GIOVINAZZI,Alfa Romeo Racing,18.0,0 days 00:01:43.950000,,,2020,Belgian Grand Prix,False
6,N LATIFI,Williams,19.0,0 days 00:01:44.138000,,,2020,Belgian Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,20.0,0 days 00:01:44.314000,,,2020,Belgian Grand Prix,False
44,L HAMILTON,Mercedes,1.0,0 days 00:01:19.514000,0 days 00:01:19.092000,0 days 00:01:18.887000,2020,Italian Grand Prix,False
77,V BOTTAS,Mercedes,2.0,0 days 00:01:19.786000,0 days 00:01:18.952000,0 days 00:01:18.956000,2020,Italian Grand Prix,False
55,C SAINZ,McLaren,3.0,0 days 00:01:20.099000,0 days 00:01:19.705000,0 days 00:01:19.695000,2020,Italian Grand Prix,False
11,S PEREZ,Racing Point,4.0,0 days 00:01:20.048000,0 days 00:01:19.718000,0 days 00:01:19.720000,2020,Italian Grand Prix,False
33,M VERSTAPPEN,Red Bull Racing,5.0,0 days 00:01:20.193000,0 days 00:01:19.780000,0 days 00:01:19.795000,2020,Italian Grand Prix,False
4,L NORRIS,McLaren,6.0,0 days 00:01:20.344000,0 days 00:01:19.962000,0 days 00:01:19.820000,2020,Italian Grand Prix,False
3,D RICCIARDO,Renault,7.0,0 days 00:01:20.548000,0 days 00:01:20.031000,0 days 00:01:19.864000,2020,Italian Grand Prix,False
18,L STROLL,Racing Point,8.0,0 days 00:01:20.400000,0 days 00:01:19.924000,0 days 00:01:20.049000,2020,Italian Grand Prix,False
23,A ALBON,Red Bull Racing,9.0,0 days 00:01:21.104000,0 days 00:01:20.064000,0 days 00:01:20.090000,2020,Italian Grand Prix,False
10,P GASLY,AlphaTauri,10.0,0 days 00:01:20.145000,0 days 00:01:19.909000,0 days 00:01:20.177000,2020,Italian Grand Prix,False
26,D KVYAT,AlphaTauri,11.0,0 days 00:01:20.307000,0 days 00:01:20.169000,,2020,Italian Grand Prix,False
31,E OCON,Renault,12.0,0 days 00:01:20.747000,0 days 00:01:20.234000,,2020,Italian Grand Prix,False
16,C LECLERC,Ferrari,13.0,0 days 00:01:20.443000,0 days 00:01:20.273000,,2020,Italian Grand Prix,False
7,K RAIKKONEN,Alfa Romeo Racing,14.0,0 days 00:01:21.010000,0 days 00:01:20.926000,,2020,Italian Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,15.0,0 days 00:01:20.869000,0 days 00:01:21.573000,,2020,Italian Grand Prix,False
8,R GROSJEAN,Haas F1 Team,16.0,0 days 00:01:21.139000,,,2020,Italian Grand Prix,False
5,S VETTEL,Ferrari,17.0,0 days 00:01:21.151000,,,2020,Italian Grand Prix,False
99,A GIOVINAZZI,Alfa Romeo Racing,18.0,0 days 00:01:21.206000,,,2020,Italian Grand Prix,False
63,G RUSSELL,Williams,19.0,0 days 00:01:21.587000,,,2020,Italian Grand Prix,False
6,N LATIFI,Williams,20.0,0 days 00:01:21.717000,,,2020,Italian Grand Prix,False
44,L HAMILTON,Mercedes,1.0,0 days 00:01:15.778000,0 days 00:01:15.309000,0 days 00:01:15.144000,2020,Tuscan Grand Prix,False
77,V BOTTAS,Mercedes,2.0,0 days 00:01:15.749000,0 days 00:01:15.322000,0 days 00:01:15.203000,2020,Tuscan Grand Prix,False
33,M VERSTAPPEN,Red Bull Racing,3.0,0 days 00:01:16.335000,0 days 00:01:15.471000,0 days 00:01:15.509000,2020,Tuscan Grand Prix,False
23,A ALBON,Red Bull Racing,4.0,0 days 00:01:16.527000,0 days 00:01:15.914000,0 days 00:01:15.954000,2020,Tuscan Grand Prix,False
16,C LECLERC,Ferrari,5.0,0 days 00:01:16.698000,0 days 00:01:16.324000,0 days 00:01:16.270000,2020,Tuscan Grand Prix,False
11,S PEREZ,Racing Point,6.0,0 days 00:01:16.596000,0 days 00:01:16.489000,0 days 00:01:16.311000,2020,Tuscan Grand Prix,False
18,L STROLL,Racing Point,7.0,0 days 00:01:16.701000,0 days 00:01:16.271000,0 days 00:01:16.356000,2020,Tuscan Grand Prix,False
3,D RICCIARDO,Renault,8.0,0 days 00:01:16.981000,0 days 00:01:16.243000,0 days 00:01:16.543000,2020,Tuscan Grand Prix,False
55,C SAINZ,McLaren,9.0,0 days 00:01:16.993000,0 days 00:01:16.522000,0 days 00:01:17.870000,2020,Tuscan Grand Prix,False
31,E OCON,Renault,10.0,0 days 00:01:16.825000,0 days 00:01:16.297000,,2020,Tuscan Grand Prix,False
4,L NORRIS,McLaren,11.0,0 days 00:01:16.895000,0 days 00:01:16.640000,,2020,Tuscan Grand Prix,False
26,D KVYAT,AlphaTauri,12.0,0 days 00:01:16.928000,0 days 00:01:16.854000,,2020,Tuscan Grand Prix,False
7,K RAIKKONEN,Alfa Romeo Racing,13.0,0 days 00:01:17.059000,0 days 00:01:16.854000,,2020,Tuscan Grand Prix,False
5,S VETTEL,Ferrari,14.0,0 days 00:01:17.072000,0 days 00:01:16.858000,,2020,Tuscan Grand Prix,False
8,R GROSJEAN,Haas F1 Team,15.0,0 days 00:01:17.069000,0 days 00:01:17.254000,,2020,Tuscan Grand Prix,False
10,P GASLY,AlphaTauri,16.0,0 days 00:01:17.125000,,,2020,Tuscan Grand Prix,False
99,A GIOVINAZZI,Alfa Romeo Racing,17.0,0 days 00:01:17.220000,,,2020,Tuscan Grand Prix,False
63,G RUSSELL,Williams,18.0,0 days 00:01:17.232000,,,2020,Tuscan Grand Prix,False
6,N LATIFI,Williams,19.0,0 days 00:01:17.320000,,,2020,Tuscan Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,20.0,0 days 00:01:17.348000,,,2020,Tuscan Grand Prix,False
44,L HAMILTON,Mercedes,1.0,0 days 00:01:32.983000,0 days 00:01:32.835000,0 days 00:01:31.304000,2020,Russian Grand Prix,False
33,M VERSTAPPEN,Red Bull Racing,2.0,0 days 00:01:33.630000,0 days 00:01:33.157000,0 days 00:01:31.867000,2020,Russian Grand Prix,False
77,V BOTTAS,Mercedes,3.0,0 days 00:01:32.656000,0 days 00:01:32.405000,0 days 00:01:31.956000,2020,Russian Grand Prix,False
11,S PEREZ,Racing Point,4.0,0 days 00:01:33.704000,0 days 00:01:33.038000,0 days 00:01:32.317000,2020,Russian Grand Prix,False
3,D RICCIARDO,Renault,5.0,0 days 00:01:33.650000,0 days 00:01:32.218000,0 days 00:01:32.364000,2020,Russian Grand Prix,False
55,C SAINZ,McLaren,6.0,0 days 00:01:33.967000,0 days 00:01:32.757000,0 days 00:01:32.550000,2020,Russian Grand Prix,False
31,E OCON,Renault,7.0,0 days 00:01:33.557000,0 days 00:01:33.196000,0 days 00:01:32.624000,2020,Russian Grand Prix,False
4,L NORRIS,McLaren,8.0,0 days 00:01:33.804000,0 days 00:01:33.081000,0 days 00:01:32.847000,2020,Russian Grand Prix,False
10,P GASLY,AlphaTauri,9.0,0 days 00:01:33.734000,0 days 00:01:33.139000,0 days 00:01:33,2020,Russian Grand Prix,False
23,A ALBON,Red Bull Racing,10.0,0 days 00:01:33.919000,0 days 00:01:33.153000,0 days 00:01:33.008000,2020,Russian Grand Prix,False
16,C LECLERC,Ferrari,11.0,0 days 00:01:34.071000,0 days 00:01:33.239000,,2020,Russian Grand Prix,False
26,D KVYAT,AlphaTauri,12.0,0 days 00:01:33.511000,0 days 00:01:33.249000,,2020,Russian Grand Prix,False
18,L STROLL,Racing Point,13.0,0 days 00:01:33.852000,0 days 00:01:33.364000,,2020,Russian Grand Prix,False
63,G RUSSELL,Williams,14.0,0 days 00:01:34.020000,0 days 00:01:33.583000,,2020,Russian Grand Prix,False
5,S VETTEL,Ferrari,15.0,0 days 00:01:34.134000,0 days 00:01:33.609000,,2020,Russian Grand Prix,False
8,R GROSJEAN,Haas F1 Team,16.0,0 days 00:01:34.592000,,,2020,Russian Grand Prix,False
99,A GIOVINAZZI,Alfa Romeo Racing,17.0,0 days 00:01:34.594000,,,2020,Russian Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,18.0,0 days 00:01:34.681000,,,2020,Russian Grand Prix,False
6,N LATIFI,Williams,19.0,0 days 00:01:35.066000,,,2020,Russian Grand Prix,False
7,K RAIKKONEN,Alfa Romeo Racing,20.0,0 days 00:01:35.267000,,,2020,Russian Grand Prix,False
77,V BOTTAS,Mercedes,1.0,0 days 00:01:26.573000,0 days 00:01:25.971000,0 days 00:01:25.269000,2020,Eifel Grand Prix,False
44,L HAMILTON,Mercedes,2.0,0 days 00:01:26.620000,0 days 00:01:25.390000,0 days 00:01:25.525000,2020,Eifel Grand Prix,False
33,M VERSTAPPEN,Red Bull Racing,3.0,0 days 00:01:26.319000,0 days 00:01:25.467000,0 days 00:01:25.562000,2020,Eifel Grand Prix,False
16,C LECLERC,Ferrari,4.0,0 days 00:01:26.857000,0 days 00:01:26.240000,0 days 00:01:26.035000,2020,Eifel Grand Prix,False
23,A ALBON,Red Bull Racing,5.0,0 days 00:01:27.126000,0 days 00:01:26.285000,0 days 00:01:26.047000,2020,Eifel Grand Prix,False
3,D RICCIARDO,Renault,6.0,0 days 00:01:26.836000,0 days 00:01:26.096000,0 days 00:01:26.223000,2020,Eifel Grand Prix,False
